,,44f20,44f20,,,,,,
,,,,,,,,,
,,46f20,46f20,,,,,,
,,,,,,,,,
,21ff0,51f80,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,43f90,,,,,,,
22f80,32fa0,46fa0,46f20,,,,,,
,,,,,,,,,
,,44f80,44f10,,,,,,
,,,,,,,,,
16ff0,26f60,46fe0,46f10,,,,,,
,,51ff0,,,,,,,
,,,,,,,,,
,,,,,,,,,
24f80,34fa0,44f60,,,,,,,
,,,44fa0,,,,,,
,,46f60,,,,,,,
,,,,,,,,,
,21fa0,51f60,,,,,,,
,,,,,,,,,
,,,45ff0,,,,,,
,,43ff0,,,,,,,
22f80,32fa0,46ff0,,,,,,,
,,,,,,,,,
,,44f80,46ff0,,,,,,
,,,,,,,,,
11ff0,26f60,46f60,,,,,,,
,,51f60,,,,,,,
,,,43ff0,,,,,,
,,,,,,,,,
24f80,34f20,44f60,,,,,,,
,,,,,,,,,
,,,44ff0,,,,,,
,,46fa0,,,,,,,
,21f80,51f80,,,,,,,
,,,,,,,,,
,,,45f60,,,,,,
,,,,,,,,,
22f40,32fc0,46f60,,,,,,,
,,,,,,,,,
,,,46ff0,,,,,,
,,,,,,,,,
16ff0,26ff0,46ff0,,,,,,,
,,51ff0,51ff0,,,,,,
,,,,,,,,,
,,,,,,,,,
24f40,34ff0,44f20,,,,,,,
,,,,,,,,,
,,,448f0,,,,,,
,,,,,,,,,
,21f80,514f0,,,,,,,
,,,,,,,,,
,,,45ff0,,,,,,
,,43ff0,,,,,,,
,32ff0,46ff0,,,,,,,
,,,,,,,,,
,,44ff0,46ff0,,,,,,
,,51ff0,,,,,,,
11ff0,26ff0,,46ff0,,,,,,
,,51ff0,,,,,,,
,,,43ff0,,,,,,
,,,,,,,,,
,24ff0,44ff0,,,,,,,
,,,44ff0,,,,,,
,,,,,,,,,
,,46f60,,,,,,,
,21f60,51f60,,,,,,,
,,,,,,,,,
,,,45f60,,,,,,
,,43f60,,,,,,,
,22fa0,46ff0,46ff0,64821,64821,,,,
,,,,,,,,,
,,,466f0,,,,,,
,,,,,,,,,
21f80,26ff0,46ff0,,,,,,,
,,51ff0,51ff0,,,,,,
,,,,,,,,,
,,,,,,,,,
,24f60,44ff0,,64821,56821,,,,
,,,,,,,,,
,,,44ff0,,,,,,
,,46f80,,,,,,,
,21f60,51f60,,,,,,,
,,,,63a20,55820,,,,
,,,,,,,,,
,,,45f60,64220,56821,,,,
,22fa0,46f60,,,,,,,
,,,,,,,,,
,,46fa0,,,,,,,
,,,44fa0,,,,,,
,26f40,46fa0,,,,,,,
,,,51fa0,,,,,,
,,43ff0,,,,,,,
,,,,,,,,,
14ff0,24ff0,44f80,44f80,64a21,56a21,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,51f80,51f80,,,,,,
,,,,,,,,,
,,45f80,45f80,,,,,,
,,,,,,,,,
16ff0,16ff0,46fa0,46fa0,64a21,56a21,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
12ff0,22ff0,,,,,,,,
,,,,,,,,,
,,42fc0,42fa0,,,,,,
,,,,,,,,,
14ff0,14ff0,44f80,44f80,64821,56c21,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,51f80,51f80,,,,,,
,,,,,,,,,
,,45f80,45f80,,,,,,
,,,,,,,,,
16ff0,16ff0,46f80,46f80,63a21,56a21,,,,
,,,,,,,,,
,,,,642a1,56881,,,,
,,,,,,,,,
12ff0,12ff0,,,,,,,,
,,,,,,,,,
,,42fc0,42fac0,,,,,,
,,,,,,,,,
16ff0,16ff0,44ff0,44ff0,643a1,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
